block,account,fees,src_port,src_channel
8398554,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,72741uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398555,terra1up853uvxpxg3ed33ngvthpn5z2s45udluqm3pf,11166uluna,07-tendermint-367,Strangelove Bare Metal | rly(2.4.1)
8398559,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,72859uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398565,terra1jw8egufucqhgzgnv7zr88nrhn7zr5gq7vpp5ep,9786uluna,07-tendermint-367,Relayed by Notional! | hermes 1.4.1+45b5c29 (https://hermes.informal.systems)
8398568,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,74835uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398578,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,228326uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398583,terra1jw8egufucqhgzgnv7zr88nrhn7zr5gq7vpp5ep,6629uluna,07-tendermint-367,Relayed by Notional! | hermes 1.4.1+45b5c29 (https://hermes.informal.systems)
8398584,terra1jw8egufucqhgzgnv7zr88nrhn7zr5gq7vpp5ep,6629uluna,07-tendermint-367,Relayed by Notional! | hermes 1.4.1+45b5c29 (https://hermes.informal.systems)
8398588,terra1up853uvxpxg3ed33ngvthpn5z2s45udluqm3pf,8598uluna,07-tendermint-367,Strangelove Bare Metal | rly(2.4.1)
8398588,terra1jw8egufucqhgzgnv7zr88nrhn7zr5gq7vpp5ep,6629uluna,07-tendermint-367,Relayed by Notional! | hermes 1.4.1+45b5c29 (https://hermes.informal.systems)
